1982,"Halloween (1978)",Horror
55,"Georgia (1995)",Drama
184,"Nadja (1994)",Drama
563,"Germinal (1993)",Drama
1687,"Jackal, The (1997)",Action|Thriller
1960,"Last Emperor, The (1987)",Drama|War
279,"My Family (1995)",Drama
542,"Son in Law (1993)",Comedy
1376,"Star Trek IV: The Voyage Home (1986)",Action|Adventure|Sci-Fi
567,"Kika (1993)",Drama
662,"Fear (1996)",Thriller
786,"Eraser (1996)",Action|Thriller
768,"Someone Else's America (1995)",Drama
1293,"Gandhi (1982)",Drama
879,"Relic, The (1997)",Horror
1934,"You Can't Take It With You (1938)",Comedy
504,"No Escape (1994)",Action|Sci-Fi
1093,"Doors, The (1991)",Drama|Musical
1774,"Mass Transit (1998)",Comedy|Drama
836,"Chain Reaction (1996)",Action|Adventure|Thriller
1091,"Weekend at Bernie's (1989)",Comedy
1892,"Perfect Murder, A (1998)",Mystery|Thriller
1036,"Die Hard (1988)",Action|Thriller
1708,"Ill Gotten Gains (1997)",Drama
294,"Perez Family, The (1995)",Comedy|Romance
639,"Girl 6 (1996)",Comedy
1375,"Star Trek III: The Search for Spock (1984)",Action|Adventure|Sci-Fi
225,"Disclosure (1994)",Drama|Thriller
934,"Father of the Bride (1950)",Comedy
664,"Faithful (1996)",Comedy
630,"Carried Away (1996)",Drama|Romance
264,"Enfer, L' (1994)",Drama
1111,"Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)",Documentary
576,"Fausto (1993)",Comedy
202,"Total Eclipse (1995)",Drama|Romance
1407,"Scream (1996)",Horror|Thriller
860,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",Comedy
1209,"Once Upon a Time in the West (1969)",Western
1499,"Anaconda (1997)",Action|Adventure|Thriller
1759,"Four Days in September (1997)",Drama
579,"Scorta, La (1993)",Thriller
851,"Basquiat (1996)",Drama
2015,"Absent Minded Professor, The (1961)",Children's|Comedy|Fantasy
1079,"Fish Called Wanda, A (1988)",Comedy
1183,"English Patient, The (1996)",Drama|Romance|War
832,"Ransom (1996)",Drama|Thriller
1324,"Amityville: Dollhouse (1996)",Horror
2039,"Cheetah (1989)",Adventure|Children's
108,"Catwalk (1995)",Documentary
618,"Two Much (1996)",Comedy|Romance
1630,"Lay of the Land, The (1997)",Comedy|Drama
21,"Get Shorty (1995)",Action|Comedy|Drama
481,"Kalifornia (1993)",Drama|Thriller
1158,"Here Comes Cookie (1935)",Comedy
1514,"Temptress Moon (Feng Yue) (1996)",Romance
1704,"Good Will Hunting (1997)",Drama
1727,"Horse Whisperer, The (1998)",Drama
1391,"Mars Attacks! (1996)",Action|Comedy|Sci-Fi|War
1594,"In the Company of Men (1997)",Drama
435,"Coneheads (1993)",Comedy|Sci-Fi
937,"Love in the Afternoon (1957)",Comedy|Romance
1903,"Hav Plenty (1997)",Comedy
775,"Spirits of the Dead (Tre Passi nel Delirio) (1968)",Horror
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
16,"Casino (1995)",Drama|Thriller
1908,"Resurrection Man (1998)",Drama|Thriller
162,"Crumb (1994)",Documentary
1309,"Parallel Sons (1995)",Drama|Romance
456,"Fresh (1994)",Drama
359,"I Like It Like That (1994)",Comedy|Drama|Romance
2001,"Lethal Weapon 2 (1989)",Action|Comedy|Crime|Drama
2059,"Parent Trap, The (1998)",Children's|Drama
1226,"Quiet Man, The (1952)",Comedy|Romance
1429,"Jackie Chan's First Strike (1996)",Action
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi
895,"Venice/Venice (1992)",Drama
641,"Little Indian, Big City (Un indien dans la ville) (1994)",Comedy
1701,"Deconstructing Harry (1997)",Comedy|Drama
1266,"Unforgiven (1992)",Western
276,"Milk Money (1994)",Comedy|Romance
1969,"Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985)",Horror
1301,"Forbidden Planet (1956)",Sci-Fi
585,"Brady Bunch Movie, The (1995)",Comedy
302,"Queen Margot (La Reine Margot) (1994)",Drama|Romance
316,"Stargate (1994)",Action|Adventure|Sci-Fi
876,"Police Story 4: Project S (Chao ji ji hua) (1993)",Action
980,"In the Line of Duty 2 (1987)",Action
111,"Taxi Driver (1976)",Drama|Thriller
1965,"Repo Man (1984)",Comedy|Sci-Fi
2031,"$1,000,000 Duck (1971)",Children's|Comedy
170,"Hackers (1995)",Action|Crime|Thriller
1454,"SubUrbia (1997)",Comedy
800,"Lone Star (1996)",Drama|Mystery
654,"Und keiner weint mir nach (1996)",Drama|Romance
1814,"Price Above Rubies, A (1998)",Drama
1743,"Arguing the World (1996)",Documentary
537,"Sirens (1994)",Comedy|Drama
967,"Outlaw, The (1943)",Western
935,"Band Wagon, The (1953)",Comedy|Musical
1629,"MatchMaker, The (1997)",Comedy|Romance
229,"Death and the Maiden (1994)",Drama|Thriller
896,"Wild Reeds (1994)",Drama
